OTU,Kingdom,Phylum,Class,Order,Lineage,Clade
Otu0001,Bacteria,Verrucomicrobia,Spartobacteria,Chthoniobacterales,Chthoniobacteraceae,CandidatusXiphinematobacter
Otu0002,Bacteria,Proteobacteria,Gammaproteobacteria,Methylococcales,Crenotrichaceae,Crenothrix
Otu0003,Bacteria,Verrucomicrobia,Methylacidiphilae,S-BQ2-57,unclassified,unclassified
Otu0004,Bacteria,Planctomycetes,Planctomycetia,Pirellulales,Pirellulaceae,unclassified
Otu0005,Bacteria,Proteobacteria,Betaproteobacteria,Burkholderiales,betI,unclassified
Otu0006,Bacteria,OP3,BD4-9,unclassified,unclassified,unclassified
Otu0007,Bacteria,Bacteroidetes,unclassified,unclassified,unclassified,unclassified
Otu0008,Bacteria,SR1,unclassified,unclassified,unclassified,unclassified
Otu0009,Bacteria,OP3,BD4-9,unclassified,unclassified,unclassified
Otu0010,Bacteria,Actinobacteria,Actinobacteria,unclassified,unclassified,unclassified
Otu0011,Bacteria,Verrucomicrobia,Verruco-5,unclassified,unclassified,unclassified
Otu0012,Bacteria,Proteobacteria,Gammaproteobacteria,Legionellales,Coxiellaceae,unclassified
Otu0013,Bacteria,OP3,koll11,GIF10,kpj58rc,unclassified
Otu0014,Bacteria,Verrucomicrobia,Pedosphaerae,Pedosphaerales,auto67_4W,unclassified
Otu0015,Bacteria,Bacteroidetes,Saprospirae,Saprospirales,bacI,bacI-B
Otu0016,Bacteria,Bacteroidetes,Bacteroidia,Bacteroidales,unclassified,unclassified
Otu0017,Bacteria,Verrucomicrobia,Spartobacteria,Chthoniobacterales,Chthoniobacteraceae,unclassified
Otu0018,Bacteria,OP3,PBS-25,unclassified,unclassified,unclassified
Otu0019,Bacteria,Firmicutes,Clostridia,Clostridiales,Veillonellaceae,unclassified
Otu0020,Bacteria,Verrucomicrobia,Verrucomicrobiae,Verrucomicrobiales,Verrucomicrobiaceae,Luteolibacter
Otu0021,Bacteria,Proteobacteria,Betaproteobacteria,Burkholderiales,Alcaligenaceae,unclassified
Otu0023,Bacteria,Proteobacteria,Alphaproteobacteria,Sphingomonadales,Sphingomonadaceae,Novosphingobium
Otu0024,Bacteria,Actinobacteria,Actinobacteria,Actinomycetales,Luna1,Luna1-A
Otu0025,Bacteria,Proteobacteria,unclassified,unclassified,unclassified,unclassified
Otu0026,Bacteria,Proteobacteria,Alphaproteobacteria,Sphingomonadales,Sphingomonadaceae,unclassified
Otu0027,Bacteria,Proteobacteria,Gammaproteobacteria,Pseudomonadales,Pseudomonadaceae,Pseudomonas
Otu0028,Bacteria,Proteobacteria,Alphaproteobacteria,Sphingomonadales,alfIII,alfIII-A
Otu0029,Bacteria,Acidobacteria,Holophagae,Holophagales,Holophagaceae,unclassified
Otu0030,Bacteria,Proteobacteria,Betaproteobacteria,Neisseriales,Neisseriaceae,Aquitalea
Otu0031,Bacteria,Chlamydiae,Chlamydiia,unclassified,unclassified,unclassified
Otu0032,Bacteria,Proteobacteria,Alphaproteobacteria,Sphingomonadales,Sphingomonadaceae,Novosphingobium
Otu0033,Bacteria,TM6,SBRH58,unclassified,unclassified,unclassified
Otu0034,Bacteria,Proteobacteria,Alphaproteobacteria,Rhizobiales,alfI,alfI-B
Otu0035,Archaea,Parvarchaeota,Parvarchaea,WCHD3-30,unclassified,unclassified
Otu0036,Bacteria,OP3,koll11,GIF10,unclassified,unclassified
Otu0037,Bacteria,Actinobacteria,Actinobacteria,WCHB1-81,At425_EubF1,unclassified
Otu0038,Bacteria,Lentisphaerae,Lentisphaeria,Victivallales,Victivallaceae,unclassified
Otu0039,Bacteria,Proteobacteria,Gammaproteobacteria,Legionellales,Coxiellaceae,unclassified
Otu0040,Bacteria,Actinobacteria,Actinobacteria,Actinomycetales,acI,acI-A
Otu0041,Bacteria,Proteobacteria,Alphaproteobacteria,Sphingomonadales,Sphingomonadaceae,Novosphingobium
Otu0042,Bacteria,Proteobacteria,Betaproteobacteria,Burkholderiales,betI,betI-B
Otu0043,Bacteria,Proteobacteria,Alphaproteobacteria,unclassified,unclassified,unclassified
Otu0044,Bacteria,Proteobacteria,Deltaproteobacteria,Spirobacillales,unclassified,unclassified
Otu0045,Bacteria,Proteobacteria,Gammaproteobacteria,Methylococcales,gamI,unclassified
Otu0046,Bacteria,Cyanobacteria,4C0d-2,YS2,unclassified,unclassified
Otu0047,Bacteria,OD1,unclassified,unclassified,unclassified,unclassified
Otu0048,Bacteria,Verrucomicrobia,Verrucomicrobiae,Verrucomicrobiales,Verrucomicrobiaceae,Luteolibacter
Otu0049,Bacteria,Proteobacteria,Deltaproteobacteria,Syntrophobacterales,Syntrophaceae,Syntrophus
Otu0050,Bacteria,Acidobacteria,Holophagae,Holophagales,Holophagaceae,unclassified
Otu0051,Bacteria,OP3,BD4-9,unclassified,unclassified,unclassified
Otu0052,Bacteria,Proteobacteria,Deltaproteobacteria,MIZ46,unclassified,unclassified
Otu0053,Bacteria,Verrucomicrobia,unclassified,unclassified,unclassified,unclassified
Otu0054,Bacteria,Bacteroidetes,Bacteroidia,Bacteroidales,Porphyromonadaceae,Paludibacter
Otu0055,Bacteria,Verrucomicrobia,Spartobacteria,Chthoniobacterales,Chthoniobacteraceae,heteroC45_4W
Otu0056,Bacteria,Bacteroidetes,Saprospirae,Saprospirales,unclassified,unclassified
Otu0057,Bacteria,Proteobacteria,Gammaproteobacteria,Enterobacteriales,gamII,gamII-A
Otu0058,Bacteria,Bacteroidetes,Saprospirae,Saprospirales,Chitinophagaceae,unclassified
Otu0059,Bacteria,Bacteroidetes,unclassified,unclassified,unclassified,unclassified
Otu0060,Bacteria,Verrucomicrobia,Spartobacteria,Chthoniobacterales,Chthoniobacteraceae,CandidatusXiphinematobacter
Otu0061,Bacteria,Proteobacteria,Gammaproteobacteria,Xanthomonadales,Sinobacteraceae,unclassified
Otu0062,Bacteria,Verrucomicrobia,Verruco-5,WCHB1-41,unclassified,unclassified
Otu0063,Bacteria,OP3,BD4-9,unclassified,unclassified,unclassified
Otu0065,Bacteria,Firmicutes,Clostridia,Clostridiales,Clostridiaceae,Clostridium
Otu0066,Bacteria,OP3,BD4-9,unclassified,unclassified,unclassified
Otu0067,Bacteria,Proteobacteria,Alphaproteobacteria,Caulobacterales,Caulobacteraceae,unclassified
Otu0069,Bacteria,Proteobacteria,Alphaproteobacteria,Rickettsiales,unclassified,unclassified
Otu0070,Bacteria,Proteobacteria,Alphaproteobacteria,Sphingomonadales,Sphingomonadaceae,Sphingomonas
Otu0071,Bacteria,Proteobacteria,Deltaproteobacteria,Syntrophobacterales,Syntrophaceae,Syntrophus
Otu0072,Bacteria,Proteobacteria,Alphaproteobacteria,Rhodospirillales,Rhodospirillaceae,Telmatospirillum
Otu0073,Bacteria,Bacteroidetes,Sphingobacteriia,Sphingobacteriales,Sphingobacteriaceae,unclassified
Otu0074,Bacteria,Proteobacteria,Betaproteobacteria,SBla14,unclassified,unclassified
Otu0075,Bacteria,Acidobacteria,Holophagae,Holophagales,Holophagaceae,unclassified
Otu0076,Bacteria,Bacteroidetes,Saprospirae,Saprospirales,bacI,bacI-A
Otu0077,Archaea,Parvarchaeota,Parvarchaea,WCHD3-30,unclassified,unclassified
Otu0078,Bacteria,Actinobacteria,Actinobacteria,Actinomycetales,Microbacteriaceae,unclassified
Otu0079,Bacteria,Proteobacteria,Alphaproteobacteria,Rickettsiales,alfV,alfV-A
Otu0080,Bacteria,Bacteroidetes,Sphingobacteriia,Sphingobacteriales,unclassified,unclassified
Otu0081,Bacteria,Acidobacteria,Holophagae,Holophagales,Holophagaceae,unclassified
Otu0084,Bacteria,Bacteroidetes,Flavobacteriia,Flavobacteriales,bacV,unclassified
Otu0085,Bacteria,Proteobacteria,Alphaproteobacteria,Rhizobiales,unclassified,unclassified
Otu0086,Bacteria,Planctomycetes,Planctomycetia,Pirellulales,Pirellulaceae,unclassified
Otu0087,Bacteria,Proteobacteria,Deltaproteobacteria,MIZ46,unclassified,unclassified
Otu0088,Bacteria,Bacteroidetes,unclassified,unclassified,unclassified,unclassified
Otu0089,Bacteria,Spirochaetes,Spirochaetes,Spirochaetales,Spirochaetaceae,Spirochaeta
Otu0090,Bacteria,Planctomycetes,Planctomycetia,Pirellulales,Pirellulaceae,unclassified
Otu0091,Bacteria,Lentisphaerae,Lentisphaeria,Victivallales,Victivallaceae,unclassified
Otu0092,Bacteria,Actinobacteria,Actinobacteria,Actinomycetales,unclassified,unclassified
Otu0093,Bacteria,OP3,PBS-25,unclassified,unclassified,unclassified
Otu0094,Bacteria,Bacteroidetes,Saprospirae,Saprospirales,bacI,unclassified
Otu0095,Bacteria,OD1,ZB2,unclassified,unclassified,unclassified
Otu0096,Bacteria,Verrucomicrobia,Spartobacteria,Chthoniobacterales,Chthoniobacteraceae,heteroC45_4W
Otu0097,Bacteria,Proteobacteria,Betaproteobacteria,Burkholderiales,betII,Pnec
Otu0098,Bacteria,Actinobacteria,Actinobacteria,Actinomycetales,Luna1,Luna1-A
Otu0099,Bacteria,Proteobacteria,Alphaproteobacteria,Rhizobiales,Hyphomicrobiaceae,Rhodoplanes
Otu0100,Bacteria,Proteobacteria,Alphaproteobacteria,Rhizobiales,Methylobacteriaceae,Methylobacterium
Otu0101,Bacteria,Lentisphaerae,Lentisphaeria,Victivallales,Victivallaceae,unclassified
Otu0102,Bacteria,OP3,BD4-9,unclassified,unclassified,unclassified
Otu0103,Bacteria,Verrucomicrobia,Spartobacteria,Chthoniobacterales,Chthoniobacteraceae,CandidatusXiphinematobacter
Otu0104,Bacteria,Proteobacteria,Betaproteobacteria,Burkholderiales,betVII,betVII-B
Otu0105,Bacteria,Proteobacteria,Betaproteobacteria,Burkholderiales,betIII,betIII-A
Otu0106,Bacteria,Proteobacteria,Alphaproteobacteria,Rhizobiales,Methylocystaceae,unclassified
Otu0107,Bacteria,Proteobacteria,Alphaproteobacteria,Rhizobiales,Methylocystaceae,unclassified
Otu0108,Bacteria,Proteobacteria,Betaproteobacteria,Burkholderiales,betI,betI-A
Otu0109,Bacteria,Proteobacteria,Alphaproteobacteria,Caulobacterales,Caulobacteraceae,unclassified
Otu0110,Bacteria,Proteobacteria,Deltaproteobacteria,MIZ46,unclassified,unclassified
Otu0111,Bacteria,Proteobacteria,Gammaproteobacteria,Legionellales,Coxiellaceae,unclassified
Otu0112,Bacteria,Elusimicrobia,Elusimicrobia,Elusimicrobiales,unclassified,unclassified
Otu0113,Bacteria,Planctomycetes,Phycisphaerae,MSBL9,unclassified,unclassified
Otu0114,Bacteria,OD1,ZB2,unclassified,unclassified,unclassified
Otu0115,Bacteria,Proteobacteria,Betaproteobacteria,Burkholderiales,Oxalobacteraceae,unclassified
Otu0116,Bacteria,Bacteroidetes,Sphingobacteriia,Sphingobacteriales,Sphingobacteriaceae,Pedobacter
Otu0117,Bacteria,OP3,koll11,GIF10,unclassified,unclassified
Otu0118,Bacteria,Proteobacteria,Alphaproteobacteria,Rickettsiales,mitochondria,unclassified
Otu0119,Bacteria,Proteobacteria,Alphaproteobacteria,Rhizobiales,Hyphomicrobiaceae,Rhodoplanes
Otu0120,Bacteria,Proteobacteria,Alphaproteobacteria,Sphingomonadales,alfIV,alfIV-A
Otu0121,Bacteria,Chloroflexi,Dehalococcoidetes,GIF9,unclassified,unclassified
Otu0122,Bacteria,Proteobacteria,Gammaproteobacteria,unclassified,unclassified,unclassified
Otu0123,Bacteria,Cyanobacteria,4C0d-2,YS2,unclassified,unclassified
Otu0124,Bacteria,Proteobacteria,Gammaproteobacteria,Legionellales,Legionellaceae,Legionella
Otu0125,Bacteria,Proteobacteria,Gammaproteobacteria,Methylococcales,unclassified,unclassified
Otu0126,Bacteria,Chlamydiae,Chlamydiia,Chlamydiales,unclassified,unclassified
Otu0128,Bacteria,Proteobacteria,Alphaproteobacteria,Rhizobiales,Methylobacteriaceae,Methylobacterium
Otu0129,Bacteria,NKB19,unclassified,unclassified,unclassified,unclassified
Otu0130,Bacteria,Proteobacteria,Alphaproteobacteria,Sphingomonadales,Sphingomonadaceae,Novosphingobium
Otu0131,Bacteria,Proteobacteria,Deltaproteobacteria,Desulfuromonadales,Geobacteraceae,Geobacter
Otu0132,Bacteria,Chlamydiae,Chlamydiia,Chlamydiales,unclassified,unclassified
Otu0133,Bacteria,OP3,koll11,GIF10,unclassified,unclassified
Otu0134,Bacteria,Verrucomicrobia,Methylacidiphilae,S-BQ2-57,unclassified,unclassified
Otu0135,Bacteria,Proteobacteria,Deltaproteobacteria,Bdellovibrionales,Bacteriovoracaceae,unclassified
Otu0136,Bacteria,Proteobacteria,Deltaproteobacteria,MIZ46,unclassified,unclassified
Otu0137,Bacteria,Proteobacteria,Alphaproteobacteria,Rickettsiales,Rickettsiaceae,unclassified
Otu0138,Bacteria,Cyanobacteria,4C0d-2,MLE1-12,unclassified,unclassified
Otu0139,Bacteria,Proteobacteria,Alphaproteobacteria,Rickettsiales,mitochondria,unclassified
Otu0140,Archaea,Euryarchaeota,Methanomicrobia,Methanomicrobiales,Methanoregulaceae,CandidatusMethanoregula
Otu0141,Bacteria,Verrucomicrobia,Verrucomicrobiae,Verrucomicrobiales,Verrucomicrobiaceae,Luteolibacter
Otu0142,Bacteria,Proteobacteria,Betaproteobacteria,unclassified,unclassified,unclassified
Otu0143,Bacteria,Bacteroidetes,Saprospirae,Saprospirales,Chitinophagaceae,Sediminibacterium
Otu0144,Bacteria,Proteobacteria,Deltaproteobacteria,unclassified,unclassified,unclassified
Otu0145,Bacteria,Proteobacteria,Gammaproteobacteria,Legionellales,Legionellaceae,unclassified
Otu0147,Bacteria,Bacteroidetes,unclassified,unclassified,unclassified,unclassified
Otu0150,Bacteria,Proteobacteria,Gammaproteobacteria,Xanthomonadales,Sinobacteraceae,unclassified
Otu0151,Bacteria,Proteobacteria,Alphaproteobacteria,unclassified,unclassified,unclassified
Otu0152,Bacteria,Spirochaetes,Spirochaetes,Spirochaetales,Spirochaetaceae,Spirochaeta
Otu0153,Bacteria,Proteobacteria,Gammaproteobacteria,Legionellales,unclassified,unclassified
Otu0154,Bacteria,OD1,unclassified,unclassified,unclassified,unclassified
Otu0155,Bacteria,Proteobacteria,Gammaproteobacteria,Xanthomonadales,Sinobacteraceae,unclassified
Otu0156,Bacteria,Firmicutes,Clostridia,Clostridiales,Clostridiaceae,Clostridium
Otu0157,Bacteria,Bacteroidetes,unclassified,unclassified,unclassified,unclassified
Otu0158,Bacteria,Proteobacteria,Gammaproteobacteria,unclassified,unclassified,unclassified
Otu0159,Bacteria,Spirochaetes,Leptospirae,Leptospirales,Sediment-4,SJA-88
Otu0160,Bacteria,Proteobacteria,unclassified,unclassified,unclassified,unclassified
Otu0161,Bacteria,Proteobacteria,Gammaproteobacteria,unclassified,unclassified,unclassified
Otu0162,Bacteria,Cyanobacteria,Chloroplast,Streptophyta,unclassified,unclassified
Otu0163,Bacteria,Acidobacteria,Solibacteres,Solibacterales,Solibacteraceae,CandidatusSolibacter
Otu0164,Bacteria,Elusimicrobia,Elusimicrobia,Elusimicrobiales,unclassified,unclassified
Otu0165,Bacteria,OP3,BD4-9,unclassified,unclassified,unclassified
Otu0166,Bacteria,Bacteroidetes,Flavobacteriia,Flavobacteriales,bacV,unclassified
Otu0167,Bacteria,OP3,BD4-9,unclassified,unclassified,unclassified
Otu0168,Bacteria,TM6,SJA-4,unclassified,unclassified,unclassified
Otu0169,Bacteria,Proteobacteria,Gammaproteobacteria,Legionellales,Legionellaceae,unclassified
Otu0170,Bacteria,Verrucomicrobia,Verruco-5,WCHB1-41,unclassified,unclassified
Otu0171,Bacteria,Proteobacteria,Alphaproteobacteria,Rickettsiales,mitochondria,unclassified
Otu0172,Bacteria,Verrucomicrobia,Methylacidiphilae,S-BQ2-57,unclassified,unclassified
Otu0173,Bacteria,Proteobacteria,Gammaproteobacteria,Legionellales,Coxiellaceae,unclassified
Otu0174,Bacteria,Proteobacteria,Deltaproteobacteria,Bdellovibrionales,Bdellovibrionaceae,Bdellovibrio
Otu0175,Bacteria,Proteobacteria,unclassified,unclassified,unclassified,unclassified
Otu0176,Bacteria,Proteobacteria,Alphaproteobacteria,Rhizobiales,alfI,alfI-B
Otu0177,Bacteria,Firmicutes,Clostridia,Clostridiales,Veillonellaceae,unclassified
Otu0178,Bacteria,Bacteroidetes,unclassified,unclassified,unclassified,unclassified
Otu0179,Bacteria,Proteobacteria,Alphaproteobacteria,Rickettsiales,Rickettsiaceae,unclassified
Otu0180,Bacteria,Chlorobi,Chlorobia,Chlorobiales,Chlorobiaceae,unclassified
Otu0181,Bacteria,Verrucomicrobia,Spartobacteria,Chthoniobacterales,Chthoniobacteraceae,heteroC45_4W
Otu0182,Bacteria,Bacteroidetes,unclassified,unclassified,unclassified,unclassified
Otu0183,Bacteria,Verrucomicrobia,Pedosphaerae,Pedosphaerales,unclassified,unclassified
Otu0184,Bacteria,Actinobacteria,Actinobacteria,Actinomycetales,acI,acI-B
Otu0185,Bacteria,OD1,ABY1,unclassified,unclassified,unclassified
Otu0186,Bacteria,OP3,unclassified,unclassified,unclassified,unclassified
Otu0187,Bacteria,Proteobacteria,Deltaproteobacteria,unclassified,unclassified,unclassified
Otu0188,Bacteria,Verrucomicrobia,Verruco-5,WCHB1-41,unclassified,unclassified
Otu0189,Bacteria,Actinobacteria,Actinobacteria,Actinomycetales,acI,acI-B
Otu0190,Bacteria,Proteobacteria,Betaproteobacteria,Burkholderiales,betIII,betIII-A
Otu0191,Bacteria,Bacteroidetes,Bacteroidia,Bacteroidales,unclassified,unclassified
Otu0192,Archaea,Crenarchaeota,MCG,pGrfC26,unclassified,unclassified
Otu0193,Bacteria,OD1,unclassified,unclassified,unclassified,unclassified
Otu0194,Bacteria,Bacteroidetes,Bacteroidia,Bacteroidales,unclassified,unclassified
Otu0196,Bacteria,WS5,unclassified,unclassified,unclassified,unclassified
Otu0197,Bacteria,Proteobacteria,Alphaproteobacteria,Rhizobiales,alfI,alfI-B
Otu0198,Bacteria,Verrucomicrobia,Pedosphaerae,Pedosphaerales,auto67_4W,unclassified
Otu0199,Bacteria,Cyanobacteria,4C0d-2,YS2,unclassified,unclassified
Otu0200,Bacteria,Proteobacteria,unclassified,unclassified,unclassified,unclassified
Otu0201,Bacteria,Verrucomicrobia,Pedosphaerae,Pedosphaerales,auto67_4W,unclassified
Otu0202,Bacteria,Spirochaetes,Spirochaetes,Spirochaetales,Spirochaetaceae,unclassified
Otu0203,Bacteria,Proteobacteria,Deltaproteobacteria,Syntrophobacterales,Syntrophorhabdaceae,unclassified
Otu0204,Bacteria,Chlamydiae,Chlamydiia,Chlamydiales,unclassified,unclassified
Otu0205,Bacteria,Proteobacteria,Deltaproteobacteria,Syntrophobacterales,Syntrophaceae,Syntrophus
Otu0207,Bacteria,Proteobacteria,Gammaproteobacteria,Legionellales,Coxiellaceae,unclassified
Otu0208,Bacteria,Actinobacteria,Thermoleophilia,Gaiellales,unclassified,unclassified
Otu0209,Bacteria,Proteobacteria,Gammaproteobacteria,Pseudomonadales,gamIII,gamIII-A
Otu0210,Bacteria,SR1,unclassified,unclassified,unclassified,unclassified
Otu0211,Bacteria,Verrucomicrobia,Verruco-5,unclassified,unclassified,unclassified
Otu0212,Bacteria,Proteobacteria,Deltaproteobacteria,Desulfuromonadales,Geobacteraceae,unclassified
Otu0213,Bacteria,Bacteroidetes,Saprospirae,Saprospirales,bacI,bacI-A
Otu0214,Bacteria,Proteobacteria,Gammaproteobacteria,Legionellales,Coxiellaceae,unclassified
Otu0215,Bacteria,Actinobacteria,Thermoleophilia,Gaiellales,unclassified,unclassified
Otu0216,Bacteria,Proteobacteria,Alphaproteobacteria,Ellin329,unclassified,unclassified
Otu0217,Bacteria,Proteobacteria,Alphaproteobacteria,Caulobacterales,alfII,alfII-A
Otu0218,Bacteria,Proteobacteria,Alphaproteobacteria,Rhodospirillales,Rhodospirillaceae,unclassified
Otu0219,Bacteria,Proteobacteria,Deltaproteobacteria,unclassified,unclassified,unclassified
Otu0220,Bacteria,Bacteroidetes,Saprospirae,Saprospirales,bacI,bacI-A
Otu0221,Archaea,Parvarchaeota,Parvarchaea,WCHD3-30,unclassified,unclassified
Otu0222,Bacteria,Acidobacteria,Holophagae,Holophagales,Holophagaceae,unclassified
Otu0223,Bacteria,OD1,ZB2,unclassified,unclassified,unclassified
Otu0224,Bacteria,Proteobacteria,Alphaproteobacteria,Sphingomonadales,alfIV,alfIV-A
Otu0225,Bacteria,Proteobacteria,Gammaproteobacteria,Legionellales,Legionellaceae,unclassified
Otu0226,Bacteria,Proteobacteria,Gammaproteobacteria,Legionellales,Coxiellaceae,unclassified
Otu0228,Bacteria,Proteobacteria,Betaproteobacteria,Burkholderiales,Comamonadaceae,unclassified
Otu0229,Bacteria,Proteobacteria,Deltaproteobacteria,unclassified,unclassified,unclassified
Otu0230,Bacteria,Actinobacteria,Actinobacteria,Actinomycetales,acI,acI-A
Otu0231,Bacteria,Proteobacteria,Deltaproteobacteria,Desulfobacterales,Desulfobulbaceae,Desulfobulbus
Otu0232,Bacteria,Proteobacteria,Gammaproteobacteria,Methylococcales,Methylococcaceae,Methylomonas
Otu0233,Bacteria,Verrucomicrobia,Spartobacteria,Chthoniobacterales,Chthoniobacteraceae,unclassified
Otu0234,Bacteria,Proteobacteria,Alphaproteobacteria,Rhodospirillales,Rhodospirillaceae,Telmatospirillum
Otu0235,Bacteria,Planctomycetes,unclassified,unclassified,unclassified,unclassified
Otu0236,Bacteria,Proteobacteria,unclassified,unclassified,unclassified,unclassified
Otu0237,Bacteria,Verrucomicrobia,Verrucomicrobiae,Verrucomicrobiales,Verrucomicrobiaceae,Luteolibacter
Otu0238,Bacteria,Proteobacteria,unclassified,unclassified,unclassified,unclassified
Otu0239,Bacteria,OD1,unclassified,unclassified,unclassified,unclassified
Otu0240,Bacteria,Acidobacteria,Holophagae,Holophagales,Holophagaceae,unclassified
Otu0241,Bacteria,OD1,ZB2,unclassified,unclassified,unclassified
Otu0242,Bacteria,Verrucomicrobia,Spartobacteria,Chthoniobacterales,Chthoniobacteraceae,unclassified
Otu0243,Bacteria,Proteobacteria,Alphaproteobacteria,Rhizobiales,unclassified,unclassified
Otu0244,Bacteria,Verrucomicrobia,Pedosphaerae,Pedosphaerales,unclassified,unclassified
Otu0246,Bacteria,OP3,koll11,unclassified,unclassified,unclassified
Otu0247,Bacteria,Proteobacteria,Gammaproteobacteria,Legionellales,Legionellaceae,unclassified
Otu0248,Bacteria,Planctomycetes,Planctomycetia,Pirellulales,Pirellulaceae,unclassified
Otu0249,Bacteria,Cyanobacteria,Chloroplast,Chlorophyta,Trebouxiophyceae,unclassified
Otu0250,Bacteria,Bacteroidetes,Bacteroidia,Bacteroidales,unclassified,unclassified
Otu0251,Bacteria,Proteobacteria,Gammaproteobacteria,Legionellales,Legionellaceae,unclassified
Otu0252,Bacteria,Proteobacteria,unclassified,unclassified,unclassified,unclassified
Otu0253,Bacteria,Verrucomicrobia,Opitutae,Opitutales,Opitutaceae,Opitutus
Otu0254,Bacteria,Bacteroidetes,Saprospirae,Saprospirales,Chitinophagaceae,unclassified
Otu0255,Bacteria,Firmicutes,Clostridia,Clostridiales,Veillonellaceae,unclassified
Otu0256,Bacteria,Bacteroidetes,Sphingobacteriia,Sphingobacteriales,Sphingobacteriaceae,unclassified
Otu0257,Bacteria,Proteobacteria,Betaproteobacteria,Methylophilales,Methylophilaceae,unclassified
Otu0258,Bacteria,Proteobacteria,Alphaproteobacteria,Rhodospirillales,Acetobacteraceae,unclassified
Otu0259,Bacteria,Proteobacteria,Gammaproteobacteria,Methylococcales,Methylococcaceae,Methylomonas
Otu0260,Bacteria,Proteobacteria,Gammaproteobacteria,Methylococcales,unclassified,unclassified
Otu0261,Bacteria,Proteobacteria,Alphaproteobacteria,Rhizobiales,Rhizobiaceae,unclassified
Otu0262,Bacteria,Proteobacteria,Deltaproteobacteria,Myxococcales,unclassified,unclassified
Otu0263,Bacteria,TM6,SBRH58,unclassified,unclassified,unclassified
Otu0264,Bacteria,Proteobacteria,Gammaproteobacteria,unclassified,unclassified,unclassified
Otu0265,Bacteria,Proteobacteria,Betaproteobacteria,unclassified,unclassified,unclassified
Otu0266,Bacteria,OP3,koll11,GIF10,unclassified,unclassified
Otu0267,Bacteria,Bacteroidetes,Sphingobacteriia,Sphingobacteriales,Sphingobacteriaceae,unclassified
Otu0268,Bacteria,Proteobacteria,Alphaproteobacteria,Rhodospirillales,Acetobacteraceae,unclassified
Otu0269,Bacteria,Verrucomicrobia,Opitutae,Cerasicoccales,Cerasicoccaceae,unclassified
Otu0270,Bacteria,Verrucomicrobia,Pedosphaerae,Pedosphaerales,Ellin515,unclassified
Otu0271,Bacteria,Chloroflexi,Anaerolineae,Anaerolineales,Anaerolinaceae,unclassified
Otu0272,Bacteria,Acidobacteria,Acidobacteriia,Acidobacteriales,Acidobacteriaceae,unclassified
Otu0273,Bacteria,Proteobacteria,Gammaproteobacteria,Pseudomonadales,Pseudomonadaceae,Pseudomonas
Otu0274,Bacteria,Acidobacteria,Solibacteres,Solibacterales,Solibacteraceae,CandidatusSolibacter
Otu0275,Bacteria,Proteobacteria,Deltaproteobacteria,MIZ46,unclassified,unclassified
Otu0276,Bacteria,Chlorobi,OPB56,unclassified,unclassified,unclassified
Otu0277,Bacteria,Chlamydiae,Chlamydiia,Chlamydiales,Rhabdochlamydiaceae,CandidatusRhabdochlamydia
Otu0278,Bacteria,Proteobacteria,Deltaproteobacteria,Bdellovibrionales,Bdellovibrionaceae,Bdellovibrio
Otu0279,Bacteria,Chlamydiae,Chlamydiia,Chlamydiales,Rhabdochlamydiaceae,CandidatusRhabdochlamydia
Otu0280,Bacteria,Verrucomicrobia,Spartobacteria,Chthoniobacterales,Chthoniobacteraceae,unclassified
Otu0281,Bacteria,Proteobacteria,Betaproteobacteria,Burkholderiales,Oxalobacteraceae,unclassified
Otu0282,Bacteria,Bacteroidetes,Saprospirae,Saprospirales,bacI,bacI-A
Otu0283,Bacteria,Proteobacteria,Betaproteobacteria,Methylophilales,betIV,betIV-A
Otu0284,Bacteria,Chlamydiae,Chlamydiia,Chlamydiales,Rhabdochlamydiaceae,CandidatusRhabdochlamydia
Otu0285,Bacteria,Proteobacteria,Gammaproteobacteria,Legionellales,Coxiellaceae,unclassified
Otu0286,Bacteria,Chloroflexi,Anaerolineae,Anaerolineales,Anaerolinaceae,unclassified
Otu0287,Bacteria,Proteobacteria,Betaproteobacteria,Neisseriales,Neisseriaceae,Chromobacterium
Otu0288,Bacteria,Proteobacteria,Betaproteobacteria,Rhodocyclales,Rhodocyclaceae,unclassified
Otu0290,Bacteria,Proteobacteria,Alphaproteobacteria,Rhodospirillales,Rhodospirillaceae,Telmatospirillum
Otu0291,Bacteria,Proteobacteria,Alphaproteobacteria,Caulobacterales,Caulobacteraceae,unclassified
Otu0292,Bacteria,Verrucomicrobia,Pedosphaerae,Pedosphaerales,unclassified,unclassified
Otu0293,Bacteria,Proteobacteria,Alphaproteobacteria,Rhodospirillales,Acetobacteraceae,unclassified
Otu0294,Bacteria,Chloroflexi,Dehalococcoidetes,unclassified,unclassified,unclassified
Otu0295,Bacteria,Proteobacteria,Alphaproteobacteria,Rickettsiales,Rickettsiaceae,unclassified
Otu0296,Bacteria,Firmicutes,Clostridia,Clostridiales,Clostridiaceae,Clostridium
Otu0297,Bacteria,Bacteroidetes,Saprospirae,Saprospirales,bacI,bacI-A
Otu0298,Bacteria,Proteobacteria,Deltaproteobacteria,Desulfovibrionales,Desulfovibrionaceae,Desulfovibrio
Otu0299,Bacteria,Firmicutes,Clostridia,Clostridiales,Veillonellaceae,Pelosinus
Otu0300,Bacteria,Proteobacteria,Betaproteobacteria,Rhodocyclales,Rhodocyclaceae,unclassified
