OTU,Kingdom,Phylum,Class,Order,Lineage,Clade
Otu3203,Bacteria,Proteobacteria,Gammaproteobacteria,Xanthomonadales,Xanthomonadaceae,unclassified
Otu3204,Bacteria,Proteobacteria,Alphaproteobacteria,Sphingomonadales,alfIV,alfIV-A
Otu3206,Bacteria,Chloroflexi,Chloroflexi,Chloroflexales,unclassified,unclassified
Otu3209,Bacteria,OD1,ZB2,unclassified,unclassified,unclassified
Otu3210,Bacteria,Chlamydiae,Chlamydiia,unclassified,unclassified,unclassified
Otu3213,Bacteria,Proteobacteria,TA18,PHOS-HD29,unclassified,unclassified
Otu3214,Bacteria,Proteobacteria,Alphaproteobacteria,Rickettsiales,Rickettsiaceae,unclassified
Otu3215,Bacteria,Actinobacteria,Actinobacteria,Actinomycetales,unclassified,unclassified
Otu3216,Bacteria,Planctomycetes,Phycisphaerae,MSBL9,unclassified,unclassified
Otu3217,Bacteria,Spirochaetes,MVP-15,PL-11B10,unclassified,unclassified
Otu3218,Bacteria,Bacteroidetes,Flavobacteriia,Flavobacteriales,bacV,unclassified
Otu3219,Bacteria,Actinobacteria,Actinobacteria,unclassified,unclassified,unclassified
Otu3220,Bacteria,Bacteroidetes,Bacteroidia,Bacteroidales,Rikenellaceae,unclassified
Otu3221,Bacteria,TM6,SJA-4,unclassified,unclassified,unclassified
Otu3223,Bacteria,OP11,OP11-3,unclassified,unclassified,unclassified
Otu3224,Bacteria,Firmicutes,Clostridia,Clostridiales,Veillonellaceae,unclassified
Otu3225,Bacteria,Proteobacteria,Alphaproteobacteria,Caulobacterales,Caulobacteraceae,Phenylobacterium
Otu3226,Bacteria,Chlamydiae,Chlamydiia,Chlamydiales,Rhabdochlamydiaceae,CandidatusRhabdochlamydia
Otu3227,Bacteria,Fibrobacteres,Fibrobacteria,258ds10,unclassified,unclassified
Otu3229,Bacteria,Armatimonadetes,SJA-176,RB046,unclassified,unclassified
Otu3230,Bacteria,Proteobacteria,Deltaproteobacteria,Desulfovibrionales,Desulfovibrionaceae,Desulfovibrio
Otu3231,Bacteria,Bacteroidetes,Bacteroidia,Bacteroidales,unclassified,unclassified
Otu3232,Bacteria,Proteobacteria,Alphaproteobacteria,Rhizobiales,Methylocystaceae,unclassified
Otu3234,Bacteria,Proteobacteria,Gammaproteobacteria,Enterobacteriales,Enterobacteriaceae,unclassified
Otu3235,Bacteria,Proteobacteria,unclassified,unclassified,unclassified,unclassified
Otu3236,Bacteria,TM7,TM7-1,unclassified,unclassified,unclassified
Otu3237,Bacteria,OD1,unclassified,unclassified,unclassified,unclassified
Otu3239,Bacteria,Proteobacteria,Gammaproteobacteria,Legionellales,unclassified,unclassified
Otu3240,Bacteria,Nitrospirae,Nitrospira,Nitrospirales,Thermodesulfovibrionaceae,unclassified
Otu3242,Bacteria,Acidobacteria,Solibacteres,Solibacterales,Solibacteraceae,CandidatusSolibacter
Otu3244,Bacteria,Cyanobacteria,4C0d-2,YS2,unclassified,unclassified
