OTU,Day,Month,Year,value
Otu1167,2,8,2005,4
Otu1176,2,8,2005,2
Otu1180,2,8,2005,15
Otu1183,2,8,2005,8
Otu1194,2,8,2005,14
Otu1202,2,8,2005,7
Otu1211,2,8,2005,10
Otu1231,2,8,2005,2
Otu1259,2,8,2005,9
Otu1264,2,8,2005,5
Otu1313,2,8,2005,2
Otu1381,2,8,2005,3
Otu1411,2,8,2005,36
Otu1415,2,8,2005,3
Otu1621,2,8,2005,4
Otu1673,2,8,2005,10
Otu1680,2,8,2005,2
Otu1824,2,8,2005,2
Otu1841,2,8,2005,2
Otu2158,2,8,2005,2
Otu2260,2,8,2005,4
Otu2548,2,8,2005,2
Otu2631,2,8,2005,11
Otu2721,2,8,2005,2
Otu2760,2,8,2005,2
Otu2904,2,8,2005,2
Otu2983,2,8,2005,4
Otu3028,2,8,2005,7
Otu3058,2,8,2005,4
Otu3305,2,8,2005,70
Otu3308,2,8,2005,3
Otu3382,2,8,2005,2
Otu3574,2,8,2005,2
Otu3592,2,8,2005,4
Otu3645,2,8,2005,3
Otu3724,2,8,2005,2
Otu3995,2,8,2005,61
Otu4195,2,8,2005,7
Otu4249,2,8,2005,11
Otu4584,2,8,2005,10
Otu4890,2,8,2005,8
Otu5162,2,8,2005,9
Otu5181,2,8,2005,2
Otu5223,2,8,2005,3
Otu5264,2,8,2005,6
Otu5390,2,8,2005,13
Otu5424,2,8,2005,2
Otu5490,2,8,2005,12
Otu5851,2,8,2005,2
Otu5902,2,8,2005,2
Otu6071,2,8,2005,4
Otu6200,2,8,2005,2
Otu0001,3,6,2005,7
Otu0002,3,6,2005,11
Otu0003,3,6,2005,2
Otu0015,3,6,2005,11
Otu0021,3,6,2005,2
Otu0028,3,6,2005,2
Otu0030,3,6,2005,2
Otu0031,3,6,2005,3
Otu0042,3,6,2005,41
Otu0043,3,6,2005,16
Otu0044,3,6,2005,6
Otu0045,3,6,2005,7
Otu0053,3,6,2005,61
Otu0056,3,6,2005,22
Otu0058,3,6,2005,11
Otu0059,3,6,2005,2
Otu0060,3,6,2005,57
Otu0069,3,6,2005,38
Otu0073,3,6,2005,17
Otu0076,3,6,2005,115
Otu0081,3,6,2005,8
Otu0085,3,6,2005,35
Otu0097,3,6,2005,473
Otu0101,3,6,2005,3
Otu0103,3,6,2005,5
Otu0105,3,6,2005,177
Otu0108,3,6,2005,10
Otu0109,3,6,2005,6
Otu0110,3,6,2005,4
Otu0118,3,6,2005,3
Otu0130,3,6,2005,5
Otu0143,3,6,2005,30
Otu0180,3,6,2005,3
Otu0184,3,6,2005,78
Otu0189,3,6,2005,66
Otu0190,3,6,2005,151
Otu0195,3,6,2005,3
Otu0197,3,6,2005,15
Otu0198,3,6,2005,5
Otu0218,3,6,2005,4
Otu0224,3,6,2005,9
Otu0232,3,6,2005,2
Otu0233,3,6,2005,37
Otu0243,3,6,2005,3
Otu0244,3,6,2005,56
Otu0245,3,6,2005,2
Otu0257,3,6,2005,9
Otu0283,3,6,2005,2
Otu0295,3,6,2005,4
Otu0297,3,6,2005,11
Otu0311,3,6,2005,24
Otu0333,3,6,2005,4
Otu0338,3,6,2005,53
Otu0345,3,6,2005,18
Otu0394,3,6,2005,4
Otu0396,3,6,2005,7
Otu0407,3,6,2005,5
Otu0433,3,6,2005,6
Otu0443,3,6,2005,13
Otu0468,3,6,2005,4
Otu0472,3,6,2005,23
Otu0486,3,6,2005,3
Otu0488,3,6,2005,2
Otu0494,3,6,2005,11
Otu0522,3,6,2005,10
Otu0526,3,6,2005,5
Otu0535,3,6,2005,2
Otu0538,3,6,2005,16
Otu0548,3,6,2005,58
Otu0551,3,6,2005,2
Otu0576,3,6,2005,11
Otu0606,3,6,2005,13
Otu0640,3,6,2005,5
Otu0678,3,6,2005,21
Otu0679,3,6,2005,3
Otu0726,3,6,2005,11
Otu0732,3,6,2005,5
Otu0813,3,6,2005,16
Otu0862,3,6,2005,2
Otu0895,3,6,2005,8
Otu0965,3,6,2005,5
Otu1031,3,6,2005,8
Otu1049,3,6,2005,2
Otu1091,3,6,2005,3
Otu1126,3,6,2005,2
Otu1136,3,6,2005,3
Otu1167,3,6,2005,9
Otu1207,3,6,2005,3
Otu1211,3,6,2005,18
Otu1215,3,6,2005,2
Otu1245,3,6,2005,6
Otu1259,3,6,2005,5
Otu1263,3,6,2005,8
Otu1278,3,6,2005,2
Otu1359,3,6,2005,14
Otu1413,3,6,2005,3
Otu1415,3,6,2005,6
